NAME,SYMBOL,SLUG,N MARKET PAIRS,DATE ADDED,TAGS,MAX SUPPLY,CIRC SUPPLY,TOTAL SUPPLY,CMC RANK,LAST UPDATED,EXCH CUR,PRICE,VOLUME 24h,% CHANGE 1h,% CHANGE 24h,% CHANGE 7d,% CHANGE 30d,% CHANGE 60d,% CHANGE 90d,MARKET CAP
Pkoin,PKOIN,pocketnet,1,2020-07-28T00:00:00.000Z,,24375000,0,24375000,2645,2021-05-11T12:51:10.000Z,GBP,3.68271253,2319580.071,4.84877113,31.50378181,59.19634667,,,,0
wanUSDT,WANUSDT,wanusdt,3,2021-03-02T00:00:00.000Z,,210000000,0,0,2646,2021-05-11T12:52:07.000Z,GBP,0.703095139,2293830.686,-1.93390484,-0.90115607,-2.81335258,10.46933794,,,0
SmartKey,SKEY,smartkey,4,2020-12-29T00:00:00.000Z,,1000000000,0,0,2647,2021-05-11T12:51:10.000Z,GBP,0.263564665,2265765.883,-0.7897759,-6.27747387,-17.84966135,31.36911075,4.43443878,35.16735744,0
NEXT,NET,next,1,2019-03-11T00:00:00.000Z,"marketplace,centralized-exchange",,0,116503818.4,2648,2021-05-11T12:51:08.000Z,GBP,0.100402872,2251947.836,0.49704668,2.71633622,-12.25760532,13.96815325,-13.75316225,-50.73887604,0
XLMDOWN,XLMDOWN,xlmdown,1,2020-12-18T00:00:00.000Z,,,0,0,2649,2021-05-11T12:52:06.000Z,GBP,0.0007959,2218829.705,2.65162078,17.99266161,-55.96121009,-64.69293114,-90.45502942,-95.86514339,0
THORChain (ERC20),RUNE,thorchain-erc20,14,2021-01-18T00:00:00.000Z,"wrapped-tokens,exnetwork-capital-portfolio",,0,0,2650,2021-05-11T12:52:03.000Z,GBP,12.36366047,2213720.223,-0.8540422,-7.50777415,-6.93507774,50.20705247,185.320968,291.1729448,0
Bogged Finance,BOG,bogged-finance,1,2021-03-08T00:00:00.000Z,,2500000,0,0,2651,2021-05-11T12:52:07.000Z,GBP,11.28114379,2221487.114,-1.17299436,-10.65298718,31.86803619,166.9437646,1063.84597,,0
GRAP,GRAP,grap,4,2020-08-20T00:00:00.000Z,,,0,2430812.727,2652,2021-05-11T12:52:06.000Z,GBP,0.168513648,2182546.574,2.23045065,-6.15503686,-6.00960546,61.25526366,-47.95803379,-13.94163631,0
Medican Coin,MCAN,medican-coin,5,2021-02-23T00:00:00.000Z,,5000000000,0,0,2653,2021-05-11T12:52:05.000Z,GBP,0.070682089,2173542.909,-0.05319677,5.37227909,1.10569416,-20.08286657,-47.95812475,,0
Unizen,ZCX,unizen,8,2021-04-16T00:00:00.000Z,exnetwork-capital-portfolio,1000000000,0,0,2654,2021-05-11T12:52:02.000Z,GBP,2.270905023,2146956.735,-0.54581803,-10.57763782,6.38290644,,,,0
